post_Healthy,post_Degraded,post_MaintenanceRequired,post_FailedRecoverable,post_FailedPermanent
0.9996082178606459,0.0003916739329685271,1.082029875936818e-07,3.4110033679135403e-12,1.4464363577999707e-121
0.9998896857042424,0.00011029223296561285,2.2058058498855518e-08,4.749101360796467e-12,5.103376457499437e-119
0.9998814320055942,0.00011854115369258088,2.6797552990637142e-08,4.313567220384946e-11,4.567708159047402e-103
0.9993989861465997,0.0006008021070476666,2.117378924661839e-07,8.479935864702109e-12,3.8909071211107786e-110
0.9999227533515058,7.723200718901347e-05,1.463580137481195e-08,5.486545395158354e-12,1.2232230121696634e-114
0.9983963496862676,0.0016025354318564438,1.1143913806964169e-06,4.905058228631204e-10,1.6715556188208334e-105
0.9988880001479961,0.0011114327003427847,5.670674346385862e-07,8.421324295070173e-11,2.7152886389026506e-104
0.9996950518735489,0.0003048673002851521,8.082110759655421e-08,5.035670332920197e-12,3.932455522628537e-120
0.9999778638421181,2.2133360015804938e-05,2.6598162677283025e-09,1.3805322111003104e-10,1.0338222278324799e-118
0.9995482848555812,0.00045156944175188363,1.456958912643823e-07,6.773403815782935e-12,1.5589549687689835e-111
0.014135834989034701,0.9664761584791994,0.019387143872527775,8.626592477679439e-07,2.958723343031394e-88
2.4779813026134315e-07,0.9125266859849263,0.08747294603724033,1.2017967936586766e-07,4.1738507128837647e-107
0.007891077091200885,0.987753780788628,0.004355112506196998,2.9613981007097954e-08,4.801763329506012e-118
4.935167183823788e-17,0.6795150108845871,0.3204640098340854,2.097928130193058e-05,2.2730667379756642e-98
0.02152804848170354,0.9733758578995632,0.00509608974199023,3.876758551917852e-09,2.1632071219895628e-126
0.0002512026371533627,0.9832555990890638,0.016491813722766483,1.384550995711463e-06,3.841878160518944e-95
3.756411792224487e-05,0.9895841202155488,0.010378233037526732,8.262896556636307e-08,1.2573705669443272e-101
0.00010789899800794984,0.9902935901440536,0.00959850848483032,2.3731262399971556e-09,1.57202178559882e-125
0.7867705046957063,0.2131730586736808,5.643601597325355e-05,6.146680912450352e-10,1.318295642723627e-110
0.8977494425764274,0.1020277205760539,0.00022259955452948171,2.372929831435837e-07,5.55285674214436e-103
0.9817474964281832,0.01824218074818979,1.0322529691554442e-05,2.9388939521411704e-10,2.027474661746476e-100
0.9993245961881088,0.0006751924725079988,2.1132933510641174e-07,1.00810311736733e-11,2.428509213248093e-109
0.9914765284907137,0.008515307472291133,8.163502192583611e-06,5.348014496101578e-10,2.418757472777663e-103
0.009212775741910751,0.9696003800466285,0.021186527744319228,3.1646716960750503e-07,4.711131720896555e-91
0.0001637653570461342,0.9869575886516154,0.012878608490548882,3.7500827750290105e-08,2.7608437058344596e-103
1.8946139414034795e-05,0.9836527893670474,0.01632822873370791,3.575978579996041e-08,2.941815546556958e-110
2.4595290051607753e-13,0.1608784186890267,0.8346885379405425,0.004433043370232026,1.6576072571332228e-68
4.0341156110798664e-16,0.0008794926590663414,0.9990087230451699,0.00011178429571515953,2.6721206788171975e-86
7.172691866809363e-16,7.0816750672131e-06,0.9999914550284225,1.4632965473346236e-06,9.615124494755198e-112
3.803376691297269e-11,2.382053617500187e-06,0.9999533166060398,4.4301302349194876e-05,8.414283253737573e-80
0.9999991875440518,5.504972542390017e-09,8.067065090994383e-07,2.444869394736153e-10,4.842695819650761e-114
0.999818835467739,0.000181120259325028,4.4267937006816166e-08,5.035849859671034e-12,3.5886245710718417e-115
0.9998326398113629,0.0001673172145798375,4.296174761782136e-08,1.2361893377215847e-11,3.936410502086288e-114
0.9997987406240167,0.00020121000111407496,4.93687970044425e-08,6.128543498952837e-12,3.3205024412544873e-116
0.9998812692373512,0.00011870150070197722,2.9221861506869158e-08,4.013948683941216e-11,1.756360956114499e-101
0.9961809370147608,0.0038167576952922028,2.30510909226949e-06,1.808259554357419e-10,7.343204392843346e-107
0.9940674168091139,0.005924977893553659,7.597320151301204e-06,7.977167145611104e-09,2.103734798329174e-94
0.9999589321940667,4.106099105374646e-05,6.795441253044488e-09,1.940609276264503e-11,4.130181008083179e-112
0.9998478074625599,0.00015215750022475784,3.4824853036854846e-08,2.1237923519478674e-10,1.6171829227449015e-106
0.9999368419960608,6.314647664173339e-05,1.1520201371096038e-08,7.145664002842673e-12,3.0744237365990728e-115
0.9997562185131768,0.00024370417896748335,7.728144746913328e-08,2.6385050534210185e-11,2.806729351994127e-105
0.9794369229571743,0.020542951690064024,2.0125239454312205e-05,1.1325385777708933e-10,1.3776129962968939e-105
0.9998641654075148,0.0001358089931813881,2.5591916187356397e-08,7.372936027363574e-12,1.1794782033458779e-111
0.9997861642995598,0.00021378059237656284,5.510296328054197e-08,5.139033775231656e-12,2.5790955870943949e-113
0.9982338354717042,0.0017653085201470788,8.557931117315455e-07,2.1501401575075503e-10,1.4269385837753006e-96
0.9976344612532253,0.0023637063092104525,1.8320892204820251e-06,3.4838855063632686e-10,3.0902448509979806e-106
0.998696392155248,0.0013030616614038914,5.461739957569315e-07,9.345717856709739e-12,2.6202311736886847e-111
0.9992316193953533,0.0007680812584794535,2.993283247293991e-07,1.7888364107661697e-11,1.2593314733063569e-105
0.9999042409719714,9.574164945532551e-05,1.7372463527083894e-08,6.07413322061794e-12,1.8820149538892683e-124
0.9935640426069224,0.006427648281484326,8.298866625409392e-06,1.0244955209019146e-08,2.5612771363220196e-92
0.9995238425669533,0.000476025659694629,1.3176584313141523e-07,7.503185265893647e-12,5.233302727711003e-123
0.997044398926054,0.002953091275634569,2.5093490604540994e-06,4.4923925008197216e-10,1.6388758451295726e-113
0.9897198886951601,0.010266949541758252,1.3160500198014738e-05,1.2628561566027078e-09,1.1459569478610816e-107
0.9993879967753052,0.0006117904180963859,2.127873852378152e-07,1.9165204192052747e-11,4.938583209394662e-106
0.9976101629865424,0.002388578683805465,1.258307703496241e-06,2.1934511629526398e-11,2.7211822067572157e-107
0.998155374230496,0.0018438947378464007,7.310245689316746e-07,7.114036475289251e-12,5.278064035258716e-130
0.9992482173063523,0.0007515232567347877,2.5943053796609145e-07,6.398542897825933e-12,7.958994479853542e-128
0.9976206505246747,0.002378108894286825,1.2405281083553722e-06,5.295947321018356e-11,1.1306502079214425e-117
0.9945545436631904,0.005441960993551169,3.495309200498808e-06,3.401315527589278e-11,1.000133825484868e-106
0.9976882986838868,0.0023106023423989136,1.0989633157544963e-06,1.0450980087930792e-11,2.070194005924978e-113
0.9997010985365433,0.00029881882949750726,8.26229125007068e-08,1.0955728672306646e-11,1.7430849337365704e-109
0.9996486633468532,0.0003512369096572383,9.973957012908668e-08,3.960611624262298e-12,1.0383265716578171e-117
0.5898946750437899,0.4086050738885401,0.0015002493542746877,1.7133620590674348e-09,4.0347908855793237e-119
0.9778568015493528,0.02213554699006647,7.64866735104815e-06,2.7931618574766495e-09,2.3990947707406376e-92
0.9990033224709546,0.0009963512149941984,3.2630597200816573e-07,8.15822412399556e-12,8.938494787208303e-112
0.9962871810522932,0.0037105279970972137,2.290903851382645e-06,4.667864515173866e-11,1.5312824248122187e-104
0.999673970625811,0.00032595879906862366,7.055932488043818e-08,1.5882974560557653e-11,1.2457243912728744e-134
0.9997362436634482,0.0002636913405087156,6.499237807037163e-08,3.681319727237345e-12,4.909565079059272e-123
0.49925469977213294,0.4986275168306585,0.0021177678602445054,1.553689938743099e-08,1.877043236649495e-98
0.9985499051772855,0.0014499240834365502,1.706857775157913e-07,5.342220803969173e-11,1.3964378593297902e-110
0.9993052271124813,0.0006943487513943659,4.2301201091555697e-07,1.1241070653269533e-09,2.3767947498928786e-115
0.9999426466328629,5.7338763246876324e-05,1.4412793079739458e-08,1.912016614063852e-10,2.4018290631278594e-101
0.9997603756643683,0.00023955552073526106,6.88040047040403e-08,1.083576289482332e-11,2.1924828978531e-108
0.9852847648740843,0.0147041347185494,1.1100380180067282e-05,2.7250121857191583e-11,7.245176975081093e-125
0.9997183976431736,0.00028152978763684293,7.256012569989079e-08,9.160376581258338e-12,3.770126425879919e-110
6.442180780940291e-07,0.7280083401333517,0.2719909541729938,6.147552587087046e-08,3.7572512037114076e-114
1.1773383927737601e-05,0.9355748462039759,0.06441333022323406,5.0188860243715065e-08,7.823424647061669e-109
2.0312250423826845e-05,0.9519445093870081,0.0480346579100516,5.204525858923503e-07,1.447834722469793e-109
0.07898180553640212,0.9202129063081538,0.0008050522515967103,2.3590389904808344e-07,1.008535438859529e-84
5.015090244195862e-32,0.00027862110665798876,0.9897073737924272,0.010014005100838492,1.6431548446376212e-77
1.7225192785449022e-14,4.681584017451702e-06,0.9999856330202658,9.6853955940852e-06,1.7242013034025063e-90
0.9999991926712103,1.0604857981680986e-08,7.963560317316411e-07,3.678322194192495e-10,1.8479217449524317e-107
0.9983110339848121,0.001688205761898144,7.602465751988254e-07,6.745538747982945e-12,2.1501533526741502e-116
0.9997403730256763,0.0002595503058960736,7.66221994318406e-08,4.6230319689187294e-11,2.2484441963653585e-100
0.9948772272829552,0.00511470975445623,8.047091246046093e-06,1.5871268330854566e-08,4.623472815298632e-96
0.9998545076901943,0.00014546068188979813,3.1623125728164474e-08,4.861134994545693e-12,3.2199368104661063e-115
0.9999234057605961,7.658105942579651e-05,1.3174046802424026e-08,5.853834401212658e-12,7.163212961614531e-123
0.9995816983235436,0.0004181999739904707,1.01690316577886e-07,1.2199840646447358e-11,1.2474386041005151e-133
0.9837969816678005,0.01618771113995429,1.5306863090586148e-05,3.2917722470388623e-10,1.6663765352146312e-97
0.9733763180783824,0.02658940316903544,3.4278424119217285e-05,3.284665089846519e-10,8.056851469958881e-127
0.9819716614014414,0.01801550580351687,1.2832756141906137e-05,3.883870111681701e-11,4.300870374763068e-113
0.999788389986068,0.00021155475918726714,5.522545282818218e-08,2.940299072741777e-11,8.330585628889055e-105
0.9993288006838237,0.0006709528968984129,2.463982978052243e-07,2.092727434716991e-11,1.2539005976847232e-104
8.747787111986877e-12,0.08355383855912984,0.9164361426199826,1.0018812029212951e-05,1.4109832896578988e-104
5.513252919113083e-84,4.221294761572289e-28,6.097970953055394e-16,1.0,4.667014720983404e-18
6.990529178060416e-15,5.556507846778186e-14,0.9999959982547387,4.001745261191336e-06,1.135501641856744e-103
1.6659582071094779e-12,6.5090402571681e-13,0.9999975143372437,2.485660426046454e-06,1.3396082066563031e-79
5.591776733618782e-140,4.3260867755603364e-79,1.2145615257310189e-46,8.125695831826663e-05,0.9999187430417493
1.0050148945717263e-137,3.535679786814639e-82,2.1853410459272344e-53,1.4566525913608422e-10,0.9999999998542535
1.4335686551313069e-136,1.0515180797989578e-71,1.912336556927396e-48,1.5752140038765862e-12,0.9999999999984084
9.082471909660662e-133,4.800413519874685e-71,1.764813564019133e-51,9.650676058740274e-15,1.0
7.740339582718416e-178,6.050492430208703e-101,7.836237537631235e-76,4.6819886062744985e-23,1.0
1.3618908835331477e-147,1.5327560566840673e-75,5.23588996552617e-55,1.0654116557935903e-15,1.0
3.354062810850052e-169,5.915322285848729e-89,6.035663213559302e-66,2.6556116620797324e-20,1.0
1.6632463312825122e-163,4.049587900212511e-90,2.567031156024663e-65,8.50555477406724e-19,1.0
6.790348810855369e-172,3.7479189432993966e-92,1.8298091962300324e-68,5.754441580134983e-19,1.0
7.42123336242399e-176,3.0477346854374687e-96,1.5687026005291184e-73,3.9006498119573953e-22,1.0
6.268820548535855e-155,4.0343406145643567e-81,1.675905496315259e-58,6.501071630807563e-17,1.0
4.168330693744605e-157,1.1387354030708268e-76,1.8079911387137977e-52,2.5681128091147298e-14,1.0
1.3587975267571316e-156,9.424076640740416e-86,2.7232201086671912e-65,1.2614820365104725e-18,1.0
4.296031125436178e-171,1.7019060535853406e-87,1.4220185448681195e-61,6.492005339358468e-18,1.0
5.862860730124867e-162,6.387219821398598e-85,8.786974422698862e-63,5.850732409554616e-19,1.0
1.025841010471861e-158,1.510795351672037e-82,1.0180722279331104e-60,4.811344457704569e-18,1.0
1.092443501081787e-183,1.94818829748029e-101,1.380987631224511e-76,3.3198401724968396e-23,1.0
3.079767321285711e-159,1.7283747374233618e-90,8.52252333011423e-68,7.390177287389486e-19,1.0
6.0209017092097786e-151,4.550073009140569e-83,2.1492635289196549e-60,3.825963598752037e-17,1.0
1.9610650373300277e-170,4.3488832621551035e-94,9.269660994548759e-71,1.8712608596788024e-20,1.0
2.0265167248865587e-144,2.794723069924841e-76,1.1803437593274459e-55,1.869661018041643e-16,1.0
3.490477128409695e-131,2.5356737385414037e-67,2.312190454471912e-46,3.867910954343368e-13,0.9999999999995453
6.675458061455074e-164,2.838740259104195e-92,5.542292352591786e-70,6.144479814521153e-20,1.0
1.529065938303346e-174,6.479553677647124e-95,5.214431588757299e-72,9.677713336732779e-21,1.0
4.4839255245579646e-164,1.7337159308190249e-93,3.5670135592506526e-71,7.139841803062743e-21,1.0
3.900503453872442e-154,4.6561474547333093e-82,1.8627687538526972e-61,1.6624317996777952e-18,1.0
